DEPOT_ID,prd_id,prd_key,CURRENT_STOCK,SAFETY_STOCK,LAST_COUNT_DT,DEPOT_COUNTRY
DC_UK,210,CO-RF-FR-R92B-58,968,47,2025-01-12,United Kingdom
DC_FR,211,CO-RF-FR-R92R-58,545,51,2025-10-13,France
DC_FR,212,AC-HE-HL-U509-R,823,75,2025-08-30,France
DC_CA,213,AC-HE-HL-U509-R,518,143,2025-05-03,Canada
DC_DE,214,AC-HE-HL-U509-R,765,171,2025-05-19,Germany
WH003,215,AC-HE-HL-U509,823,195,2025-12-06,US
WH002,216,AC-HE-HL-U509,210,167,2025-09-22,US
WH002,217,AC-HE-HL-U509,197,89,2025-07-14,US
DC_UK,218,CL-SO-SO-B909-M,102,44,2025-10-29,United Kingdom
WH001,219,CL-SO-SO-B909-L,569,124,2025-02-15,US
WH002,220,AC-HE-HL-U509-B,158,73,2025-06-01,US
WH002,221,AC-HE-HL-U509-B,61,46,2025-02-11,US
DC_CA,222,AC-HE-HL-U509-B,821,96,2025-11-08,Canada
WH001,223,CL-CA-CA-1098,123,27,2025-03-13,US
DC_FR,224,CL-CA-CA-1098,55,151,2025-10-06,France
WH002,225,CL-CA-CA-1098,221,108,2025-10-23,US
DC_UK,226,CL-JE-LJ-0192-S,132,102,2025-05-05,United Kingdom
DC_FR,227,CL-JE-LJ-0192-S,383,159,2025-03-15,France
WH003,228,CL-JE-LJ-0192-S,798,189,2025-12-25,US
WH001,229,CL-JE-LJ-0192-M,951,166,2025-12-14,US
WH001,230,CL-JE-LJ-0192-M,365,118,2025-02-16,US
WH002,231,CL-JE-LJ-0192-M,225,20,2025-08-11,US
DC_DE,232,CL-JE-LJ-0192-L,275,29,2025-02-17,Germany
DC_DE,233,CL-JE-LJ-0192-L,921,40,2025-12-24,Germany
DC_UK,234,CL-JE-LJ-0192-L,521,79,2025-01-04,United Kingdom
DC_UK,235,CL-JE-LJ-0192-X,534,153,2025-01-10,United Kingdom
WH002,236,CL-JE-LJ-0192-X,904,125,2025-11-09,US
DC_UK,237,CL-JE-LJ-0192-X,793,111,2025-03-04,United Kingdom
WH003,238,CO-RF-FR-R92R-62,464,25,2025-02-11,US
WH003,239,CO-RF-FR-R92R-62,175,161,2025-06-25,US
DC_FR,240,CO-RF-FR-R92R-62,741,23,2025-05-19,France
WH003,241,CO-RF-FR-R92R-44,520,97,2025-02-22,US
DC_DE,242,CO-RF-FR-R92R-44,24,81,2025-03-19,Germany
DC_FR,243,CO-RF-FR-R92R-44,788,83,2025-09-14,France
WH003,244,CO-RF-FR-R92R-48,137,72,2025-09-26,US
WH002,245,CO-RF-FR-R92R-48,683,143,2025-08-05,US
DC_DE,246,CO-RF-FR-R92R-48,430,148,2025-12-21,Germany
WH003,247,CO-RF-FR-R92R-52,329,77,2025-12-31,US
DC_DE,248,CO-RF-FR-R92R-52,506,99,2025-10-05,Germany
WH002,249,CO-RF-FR-R92R-52,667,39,2025-04-17,US
WH002,250,CO-RF-FR-R92R-56,104,80,2025-12-28,US
DC_FR,251,CO-RF-FR-R92R-56,289,102,2025-02-07,France
WH003,252,CO-RF-FR-R92R-56,622,171,2025-05-16,US
DC_DE,253,CO-RF-FR-R38B-58,792,97,2025-04-11,Germany
DC_DE,254,CO-RF-FR-R38B-58,258,60,2025-08-21,Germany
WH002,255,CO-RF-FR-R38B-58,408,155,2025-11-08,US
DC_UK,256,CO-RF-FR-R38B-60,896,20,2025-02-06,United Kingdom
WH002,257,CO-RF-FR-R38B-60,627,24,2025-06-01,US
DC_CA,258,CO-RF-FR-R38B-60,67,33,2025-12-25,Canada
DC_DE,259,CO-RF-FR-R38B-62,418,172,2025-10-02,Germany
WH001,260,CO-RF-FR-R38B-62,760,46,2025-04-19,US
WH003,261,CO-RF-FR-R38B-62,932,85,2025-06-05,US
WH002,262,CO-RF-FR-R38R-44,467,166,2025-08-03,US
DC_DE,263,CO-RF-FR-R38R-44,82,183,2025-06-29,Germany
DC_DE,264,CO-RF-FR-R38R-48,451,115,2025-02-27,Germany
WH003,265,CO-RF-FR-R38R-48,617,176,2025-08-25,US
WH001,266,CO-RF-FR-R38R-52,724,145,2025-05-28,US
WH002,267,CO-RF-FR-R38R-52,871,88,2025-07-29,US
WH001,268,CO-RF-FR-R38R-58,655,42,2025-08-05,US
WH002,269,CO-RF-FR-R38R-58,238,50,2025-01-01,US
DC_CA,270,CO-RF-FR-R38R-60,786,154,2025-03-02,Canada
WH002,271,CO-RF-FR-R38R-60,182,136,2025-05-29,US
WH001,272,CO-RF-FR-R38R-62,111,195,2025-08-09,US
WH002,273,CO-RF-FR-R38R-62,796,80,2025-07-09,US
DC_UK,274,CO-RF-FR-R72R-44,65,135,2025-07-20,United Kingdom
WH001,275,CO-RF-FR-R72R-48,72,140,2025-04-15,US
DC_CA,276,CO-RF-FR-R72R-52,611,199,2025-09-24,Canada
DC_FR,277,CO-RF-FR-R72R-58,335,115,2025-10-10,France
DC_CA,278,CO-RF-FR-R72R-60,930,153,2025-12-20,Canada
DC_FR,279,CO-RF-FR-R38B-44,494,36,2025-12-09,France
DC_DE,280,CO-RF-FR-R38B-44,505,88,2025-10-28,Germany
WH003,281,CO-RF-FR-R38B-44,219,127,2025-09-19,US
WH001,282,CO-RF-FR-R38B-48,76,167,2025-01-21,US
WH001,283,CO-RF-FR-R38B-48,351,137,2025-12-14,US
DC_DE,284,CO-RF-FR-R38B-48,531,86,2025-10-30,Germany
DC_DE,285,CO-RF-FR-R38B-52,148,38,2025-11-13,Germany
DC_UK,286,CO-RF-FR-R38B-52,266,137,2025-03-11,United Kingdom
DC_DE,287,CO-RF-FR-R38B-52,402,146,2025-04-24,Germany
WH001,288,CO-MF-FR-M94S-42,63,175,2025-09-22,US
DC_UK,289,CO-MF-FR-M94S-42,712,58,2025-09-07,United Kingdom
DC_FR,290,CO-MF-FR-M94S-42,141,184,2025-01-28,France
DC_CA,291,CO-MF-FR-M94S-44,804,175,2025-11-27,Canada
WH003,292,CO-MF-FR-M94S-52,546,42,2025-12-28,US
WH001,293,CO-MF-FR-M94S-46,386,156,2025-01-27,US
DC_FR,294,CO-MF-FR-M94S-46,703,44,2025-09-05,France
DC_DE,295,CO-MF-FR-M94S-46,678,186,2025-10-16,Germany
WH002,296,CO-MF-FR-M94B-42,992,76,2025-07-11,US
DC_FR,297,CO-MF-FR-M94B-42,982,54,2025-03-23,France
WH003,298,CO-MF-FR-M94B-42,339,133,2025-02-23,US
